// webb sample 1b

[
    [1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0],
    [1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0],
    [1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0],
    [1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0],
    [1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0],

    [0.0,0.0,0.0,0.0,0.0, 1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0],
    [0.0,0.0,0.0,0.0,0.0, 1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0],
    [0.0,0.0,0.0,0.0,0.0, 1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0],
    [0.0,0.0,0.0,0.0,0.0, 1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0],
    [0.0,0.0,0.0,0.0,0.0, 1.0,1.0,1.0,1.0,1.0, 0.0,0.0,0.0,0.0,0.0],
    
    [0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0, 1.0.1.0.1.0.1.0.1.0],
    [0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0, 1.0.1.0.1.0.1.0.1.0],
    [0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0, 1.0.1.0.1.0.1.0.1.0],
    [0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0, 1.0.1.0.1.0.1.0.1.0],
    [0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0, 1.0.1.0.1.0.1.0.1.0]
]

